logged_at,run_id,world,elapsed_seconds,start_population,final_population,start_base_damage,final_base_damage,start_shot_damage,final_shot_damage,start_fire_rate,final_fire_rate,start_volley_multiplier,final_volley_multiplier,start_dps,final_dps,dps_growth,gold_before_reward,enemy_kills,cards
20260908-144911-565511,20260908-143153-966116,8,90.59,3,913843,511.0,511.0,1839.6,630414593.55,3.92,3.92,1.0,1.0,7211.232,2471225206.716,342691.125,78,290,rich_damage;match_tr;heavy_ca;ricochet_2+fire_rate;pierce_plus
20260908-150602-536872,20260908-150304-519158,1,107.025,1,639,10.0,10.0,10.0,6390.0,8.0,8.0,1.0,1.0,80.0,51120.0,639.0,14,75,
20260908-163157-245043,20260908-163012-792779,1,104.469,1,845,10.0,10.0,10.0,8450.0,8.0,8.0,1.0,1.0,80.0,67600.0,845.0,14,77,
20260908-163525-762626,20260908-163012-792779,2,100.542,1,2237,10.0,10.0,10.0,22370.0,8.8,8.8,1.0,1.0,88.0,196856.0,2237.0,23,82,ricochet_1;fire_rate;ricochet_2
20260909-002614-349016,20260909-002428-476552,1,105.888,1,819,10.0,10.0,10.0,8190.0,8.0,8.0,1.0,1.0,80.0,65520.0,819.0,14,74,
20260909-002822-084534,20260909-002428-476552,2,92.441,7,4013,28.0,28.0,196.0,112364.0,8.8,12.8,1.0,1.0,1724.8,1438259.2,833.8701,14,84,damage_plus;damage;recruit+fire_rate;resonance
20260909-003036-382884,20260909-002428-476552,3,98.31,9,9680,30.0,30.0,248.4,267168.0,10.8,10.8,1.0,1.0,2682.72,2885414.4,1075.5556,21,101,damage_plus;damage;recruit+fire_rate;resonance;overclock+damage
20260909-003327-862521,20260909-002428-476552,4,93.712,5,14651,28.0,28.0,128.8,377409.76,11.0,11.0,1.5,1.5,2125.2,6227261.04,2930.2,28,113,damage_plus;resonance;overclock+damage;triple_shot;saving
20260909-003710-965879,20260909-002428-476552,5,96.914,7,6063,28.0,28.0,180.32,215600.28,12.0,12.0,1.5,1.5,3245.76,3880805.04,1195.6537,57,139,damage_plus;resonance;overclock+damage;triple_shot;saving
20260909-003944-731597,20260909-002428-476552,6,99.887,11,9422,32.0,32.0,323.84,277383.68,13.0,18.2,1.5,1.5,6314.88,7572574.464,1199.1636,10,179,damage_plus;resonance;overclock+damage;triple_shot;critical_power+damage
20260909-004200-004287,20260909-002428-476552,7,108.673,11,8772,32.0,32.0,323.84,258247.68,13.0,13.0,1.5,1.5,6314.88,5035829.76,797.4545,33,257,damage_plus;resonance;overclock+damage;triple_shot;critical_power+damage
20260909-004512-845842,20260909-002428-476552,8,99.63,11,36419,31.0,31.0,341.0,1128989.0,12.0,12.0,1.5,1.5,13810.5,45724054.5,3310.8182,19,342,damage_plus;resonance;triple_shot;critical_power+damage;critical_focus
